"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"Combat Knife","Coltello da combattimento","armi da mischia","tradurre","Coltello progettato per l'impiego in combattimento"
"Sawtooth","Sawtooth","modelli di armamenti","mantenere","Nome canonico del coltello da combattimento Kastak Arms"
"Squall","Squall","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Sirocco","Sirocco","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Sunspike","Sunspike","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Bloodstone","Bloodstone","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Scorch","Scorch","armamenti, personaggi e lore","mantenere","Nome condiviso dalla granata al plasma Kastak Arms e dal soprannome di un luogotenente dei Nine Tails; disambiguare dal contesto"
"Black Prism","Black Prism","modelli di ottiche","mantenere","Nome canonico del mirino telescopico 8x Kastak Arms"
"Microwave Cannon","Cannone a microonde","armi personali","tradurre","Arma energetica che emette un fascio continuo di microonde"
"Firestorm","Firestorm","modelli di armamenti","mantenere","Nome canonico del cannone portatile a microonde Kastak Arms"
"Damage Reduction","Riduzione danni","armature","tradurre","Percentuale di danno mitigata dall'armatura"
"Temp. Rating","Intervallo termico","armature","tradurre","Intervallo di temperature operative dell'equipaggiamento"
"Radiation Protection","Protezione dalle radiazioni","armature","tradurre","Dose totale di radiazioni contro cui l'equipaggiamento offre protezione"
"Radiation Scrub Rate","Velocità di smaltimento radiazioni","armature","tradurre","Velocità con cui l'equipaggiamento smaltisce la dose di radiazioni"
"Carrying Capacity","Capacità di carico","armature e contenitori","tradurre","Volume massimo trasportabile"
"G-Force Tolerance","Tolleranza alle forze G","sottotute","tradurre","Incremento della resistenza alle accelerazioni"
"Manticore","Manticore","modelli di armature","mantenere","Nome canonico dell'elmo pesante Kastak Arms"
"Microid Battle Suit","Completo da combattimento Microid","modelli di armature","traduzione parziale","Microid resta il nome canonico; Battle Suit descrive il completo corazzato"
"Scaleweave Undersuit","Sottotuta Scaleweave","modelli di sottotute","traduzione parziale","Scaleweave resta il nome canonico; Undersuit indica la sottotuta"
"Nomad","Nomad","veicoli Consolidated Outland e varianti di armature","mantenere","Nome canonico del veicolo e della variante di armatura; distinguere dal contesto e mantenere identico"
"Crucible","Crucible","varianti di armature","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Lodestone","Lodestone","varianti di armature","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Badland","Badland","varianti di armature","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Lowland","Lowland","varianti di armature","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Barrens","Barrens","varianti di sottotute","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ironclad","Ironclad","varianti di sottotute","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Whetstone","Whetstone","varianti di sottotute","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Driftwood","Driftwood","varianti di sottotute","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Quagmire","Quagmire","varianti di sottotute","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Slugger","Slugger","modelli di armature","mantenere","Nome canonico dell'armatura pesante Kastak Arms"
"Sparrer","Sparrer","modelli di armature","mantenere","Nome canonico dell'armatura leggera Kastak Arms"
"Brawler","Brawler","modelli di armature","mantenere","Nome canonico dell'armatura media Kastak Arms"
"Stoneskin","Stoneskin","modelli di sottotute","mantenere","Nome canonico della serie di sottotute da combattimento Kastak Arms"
"AR Crosshair","Reticolo RA","visori","tradurre","Reticolo di realtà aumentata proiettato sul visore"
"Citadel","Citadel","modelli di armature","mantenere","Nome canonico dell'armatura pesante Kastak Arms"
"Lynx","Lynx","armature e veicoli RSI","mantenere","Nome canonico usato sia per l'armatura leggera Kastak Arms sia per il veicolo terrestre RSI"
"Oracle","Oracle","modelli di armature","mantenere","Nome canonico dell'elmo leggero Kastak Arms"
"Morningstar","Morningstar","modelli di armature","mantenere","Nome canonico dell'elmo medio Kastak Arms"
"Inquisitor","Inquisitor","modelli di armature","mantenere","Nome canonico dell'armatura media Kastak Arms"
"Fortifier","Fortifier","modelli di armature","mantenere","Nome canonico dell'elmo pesante Kastak Arms"
"Fire and Fury","Fire and Fury","opere narrative","mantenere","Titolo canonico dei programmi che resero celebre l'armatura Lynx"
"The Seeker","The Seeker","personaggi di finzione","mantenere","Nome canonico del personaggio dei programmi Fire and Fury"
"Renegade","Renegade","modelli di armature","mantenere","Nome canonico dell'elmo leggero Kastak Arms"
"Calico","Calico (armatura o livrea); Calicò (variante Strata)","armature, livree e varianti di equipaggiamento","contestuale","Mantenere Calico per il completo Kastak Arms e la livrea Retaliator; usare Calicò soltanto per la variante dell'elmo Strata"
"DustUp","DustUp","modelli di armature","mantenere","Nome canonico dell'elmo medio Kastak Arms"
"Flight Helmet","Elmo da volo","armature","tradurre","Elmo compatibile con sottotute e operazioni di volo"
"LH86","LH86","modelli di armamenti","mantenere","Codice canonico della pistola balistica Gemini"
"Tritium Low-Light Sight","Mirino al trizio per scarsa luminosità","ottiche","tradurre","Mira luminosa al trizio per ambienti poco illuminati"
"Luckbringer","Luckbringer","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Takahashi Racing","Takahashi Racing","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Righteous","Righteous","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"S71","S71","modelli di armamenti","mantenere","Codice canonico del fucile d'assalto balistico Gemini"
"Hemlock Camo","Hemlock Camo","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Justified","Justified","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Murray Cup Racing","Murray Cup Racing","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Bullseye","Bullseye","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"C54","C54","modelli di armamenti","mantenere","Codice canonico del mitra balistico Gemini"
"Origin Racing","Origin Racing","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Ochelo","Ochelo","varianti di equipaggiamento","mantenere","Nome Banu di uno strumento musicale e della variante C54 ispirata a esso"
"F55","F55","modelli di armamenti","mantenere","Codice canonico della mitragliatrice leggera Gemini"
"Mark I","Mark I","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Deadlock","Deadlock","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"A03","A03","modelli di armamenti","mantenere","Codice canonico del fucile di precisione Gemini"
"Wildwood","Wildwood","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"HighSec","HighSec","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"R97","R97","modelli di armamenti","mantenere","Codice canonico del fucile a pompa balistico Gemini"
"Kismet","Kismet","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Crimson Camo","Crimson Camo","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Echoburst Rangefinder","Telemetro a impulsi d'eco","ottiche","tradurre","Telemetro Gemini che misura la distanza tramite impulsi d'eco"
"Visual Recoil","Rinculo visivo","armi e ottiche","tradurre","Movimento apparente della visuale prodotto dal rinculo"
"OT4-RF","OT4-RF","modelli di ottiche","mantenere","Codice canonico dell'ottica telescopica 4x Gemini"
"OT8-RF","OT8-RF","modelli di ottiche","mantenere","Codice canonico dell'ottica telescopica 8x Gemini"
"Pulse","Pulse","modelli di armamenti e veicoli Mirai","mantenere","Nome canonico sia della pistola laser VOLT sia del veicolo Mirai; distinguere dal contesto e mantenere identico"
"Piconalia","Piconalia","varianti di equipaggiamento","mantenere","Nome proprio dell'edizione Luminalia verde della Pulse"
"Rouge","Rouge","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Prism","Prism","modelli di armamenti","mantenere","Nome canonico del fucile a pompa laser VOLT"
"Irradiated","Irradiated","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Hazard","Hazard","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Bonedust","Bonedust","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Deep Sea","Deep Sea","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Firesteel","Firesteel","varianti di equipaggiamento","mantenere","Nome canonico della variante; mantenere identico alla sorgente per coerenza con mappe, guide e comunità"
"Parallax","Parallax (modello); parallasse (ottica)","modelli di armamenti e ottiche","contestuale","Mantenere per il fucile VOLT; tradurre come parallasse quando indica il parametro ottico"
